INFO:root:__init__
INFO:root:setup
INFO:root:start
INFO:root:connected
INFO:root:subscribed to topic=usuario/actuator_pwm
INFO:root:send message: {"temperature": 35.15677533314185}
INFO:root:send message: {"temperature": 35.22229641912397}
INFO:root:send message: {"temperature": 35.287721914118954}
INFO:root:send message: {"temperature": 35.353051957587816}
INFO:root:send message: {"temperature": 35.41828668878811}
INFO:root:send message: {"temperature": 35.48342624677419}
INFO:root:send message: {"temperature": 35.54847077039758}
INFO:root:send message: {"temperature": 35.61342039830721}
INFO:root:send message: {"temperature": 35.678275268949726}
INFO:root:send message: {"temperature": 35.7430355205698}
INFO:root:send message: {"temperature": 35.80770129121041}
INFO:root:send message: {"temperature": 35.87227271871312}
INFO:root:send message: {"temperature": 35.936749940718435}
INFO:root:send message: {"temperature": 36.00113309466601}
INFO:root:send message: {"temperature": 36.06542231779501}
INFO:root:send message: {"temperature": 36.12961774714435}
INFO:root:send message: {"temperature": 36.193719519553056}
INFO:root:send message: {"temperature": 36.25772777166047}
INFO:root:send message: {"temperature": 36.321642639906614}
INFO:root:send message: {"temperature": 36.38546426053245}
INFO:root:send message: {"temperature": 36.44919276958016}
INFO:root:send message: {"temperature": 36.51282830289347}
INFO:root:send message: {"temperature": 36.57637099611789}
INFO:root:send message: {"temperature": 36.63982098470106}
INFO:root:send message: {"temperature": 36.703178403893}
INFO:root:send message: {"temperature": 36.7664433887464}
INFO:root:send message: {"temperature": 36.82961607411694}
INFO:root:send message: {"temperature": 36.892696594663526}
INFO:root:send message: {"temperature": 36.955685084848625}
INFO:root:send message: {"temperature": 37.01858167893853}
INFO:root:send message: {"temperature": 37.08138651100364}
INFO:root:send message: {"temperature": 37.14409971491877}
INFO:root:send message: {"temperature": 37.20672142436339}
INFO:root:send message: {"temperature": 37.269251772821974}
INFO:root:send message: {"temperature": 37.33169089358422}
INFO:root:send message: {"temperature": 37.39403891974541}
INFO:root:send message: {"temperature": 37.4562959842066}
INFO:root:send message: {"temperature": 37.518462219674966}
INFO:root:send message: {"temperature": 37.58053775866409}
INFO:root:send message: {"temperature": 37.642522733494225}
INFO:root:send message: {"temperature": 37.70441727629255}
INFO:root:send message: {"temperature": 37.7662215189935}
INFO:root:send message: {"temperature": 37.82793559333902}
INFO:root:send message: {"temperature": 37.88955963087886}
INFO:root:send message: {"temperature": 37.951093762970835}
INFO:root:send message: {"temperature": 38.01253812078113}
INFO:root:send message: {"temperature": 38.07389283528456}
INFO:root:send message: {"temperature": 38.13515803726486}
INFO:root:send message: {"temperature": 38.196333857314954}
INFO:root:send message: {"temperature": 38.257420425837246}
INFO:root:send message: {"temperature": 38.318417873043884}
INFO:root:send message: {"temperature": 38.37932632895705}
INFO:root:send message: {"temperature": 38.44014592340923}
INFO:root:send message: {"temperature": 38.50087678604351}
INFO:root:send message: {"temperature": 38.561519046313805}
INFO:root:send message: {"temperature": 38.622072833485184}
INFO:root:send message: {"temperature": 38.68253827663412}
INFO:root:send message: {"temperature": 38.74291550464877}
INFO:root:send message: {"temperature": 38.803204646229275}
INFO:root:send message: {"temperature": 38.863405829887974}
INFO:root:send message: {"temperature": 38.923519183949736}
INFO:root:send message: {"temperature": 38.98354483655221}
INFO:root:send message: {"temperature": 39.04348291564611}
INFO:root:send message: {"temperature": 39.10333354899546}
INFO:root:send message: {"temperature": 39.16309686417788}
INFO:root:send message: {"temperature": 39.2227729885849}
INFO:root:send message: {"temperature": 39.282362049422154}
INFO:root:send message: {"temperature": 39.3418641737097}
INFO:root:send message: {"temperature": 39.40127948828231}
INFO:root:send message: {"temperature": 39.460608119789676}
INFO:root:send message: {"temperature": 39.51985019469674}
INFO:root:send message: {"temperature": 39.579005839283916}
INFO:root:send message: {"temperature": 39.638075179647416}
INFO:root:send message: {"temperature": 39.69705834169946}
INFO:root:send message: {"temperature": 39.755955451168575}
INFO:root:send message: {"temperature": 39.81476663359987}
INFO:root:send message: {"temperature": 39.87349201435528}
INFO:root:send message: {"temperature": 39.932131718613846}
INFO:root:send message: {"temperature": 39.99068587137199}
INFO:root:send message: {"temperature": 40.04915459744376}
INFO:root:send message: {"temperature": 40.10753802146112}
